                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2022


NAME: Bariloche                  
ELEV: 800 meters    LAT: 00-00.00 N    LONG: 000-00.00 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.6   13.5  14:12    2.3  01:17   10.7    0.0   0.00    5.4   24.1  12:25    221
 02    7.4    9.7  01:30    4.5  10:25   11.0    0.0   0.00    8.7   49.9  10:24    148
 03    5.3    8.4  13:53    0.7  23:47   13.1    0.0   0.00    7.5   37.0  15:47    145
 04    0.8    2.7  14:53   -0.1  05:25   17.5    0.0   0.43    6.9   41.8  12:18     61
 05    0.1    2.8  15:14   -1.6  23:09   18.2    0.0   0.00   12.9   62.8  16:41    159
 06    1.5    4.3  13:54   -1.4  00:34   16.8    0.0   0.71   14.3   69.2  15:46     22
 07   -1.3    4.1  00:24   -5.8  21:49   19.6    0.0   0.53   13.9   67.6  13:43    106
 08   -1.4    2.5  16:28   -5.6  01:29   19.7    0.0   0.08   15.2   72.4  19:59    213
 09    5.3    6.9  15:42    3.1  09:49   13.0    0.0   0.00   11.6   54.7  10:16    224
 10    7.8   13.2  12:27    4.0  06:29   10.5    0.0   0.00    5.9   40.2  18:40    225
 11    2.5    6.1  00:19    0.8  11:19   15.8    0.0   0.05   14.2   66.0  20:37    176
 12   -2.2    0.8  00:00   -5.5  23:30   20.5    0.0   0.08   16.0   78.9  16:00    140
 13   -0.8    5.0  14:56   -6.2  03:00   19.1    0.0   0.03    8.6   57.9  03:30     81
 14    6.3    9.9  15:00    0.1  00:04   12.1    0.0   0.00    9.0   24.1  12:06    280
 15   10.3   14.2  10:59    6.3  03:55    8.0    0.0   0.00   10.4   35.4  18:22    244
 16    9.8   13.3  15:16    7.3  22:15    8.5    0.0   0.00   11.4   56.3  14:25      9
 17    8.0    8.3  00:42    7.8  01:14   10.3    0.0   0.00    8.4   30.6  00:00     24
 18   10.7   14.2  15:42    7.2  09:36    7.6    0.0   0.00   13.4   43.5  22:42    241
 19    7.8   10.6  13:54    4.2  23:03   10.5    0.0   0.00   11.5   75.6  22:08    181
 20    1.8    4.6  00:00   -0.9  23:57   16.5    0.0   0.89   11.8   62.8  09:06    143
 21    3.3    6.8  16:49   -1.1  01:08   15.0    0.0   0.00    8.3   29.0  11:02    332
 22    8.9   13.3  16:02    4.1  23:53    9.4    0.0   0.00    8.0   54.7  20:22    311
 23    5.9    8.2  03:48    2.1  07:50   12.4    0.0   0.05   11.9   45.1  06:02     37
 24    3.5    9.9  23:59    1.9  05:46   14.8    0.0   0.13    9.8   53.1  11:37     44
 25    6.4   10.4  14:46    2.9  23:22   11.9    0.0   0.08    7.2   51.5  20:31    109
 26    2.2    4.9  15:59   -0.1  06:32   16.2    0.0   1.60   10.7   57.9  13:28    147
 27    1.1    2.9  14:11   -0.1  20:00   17.3    0.0   0.41   15.7   78.9  14:35    134
 28    0.6    3.1  13:10   -2.6  23:00   17.8    0.0   0.08   17.0   82.1  11:50     20
 29   -2.9   -0.3  09:54   -5.1  23:52   21.2    0.0   0.56   13.5   75.6  15:21    263
 30    0.1    2.2  17:31   -5.6  01:05   18.3    0.0   0.74    9.5   62.8  00:55    218
 31    6.8   13.2  16:19    0.1  01:20   11.5    0.0   0.05    5.0   24.1  20:25    243
---------------------------------------------------------------------------------------
       3.8   14.2     18   -6.2     13  445.0    0.0   6.48   10.7   82.1     28    199
